Name,Age,Club,Overall,Potential,Position,Player Value
Player 111,33.0,Free Agent,76,76,RW,103.42
Player 112,22.0,Bayern Munich,64,69,ST,64.67
Player 113,20.0,Real Madrid,90,95,LW,22.95
Player 114,29.0,Bayern Munich,64,66,CB,36.65
Player 115,25.0,PSG,62,67,No,37.88
Player 116,27.52777777777778,Real Madrid,82,82,CM,48.28
Player 117,20.0,PSG,69,70,CB,51.79
Player 118,27.52777777777778,Man City,69,71,CM,96.17
Player 119,20.0,Man City,78,79,GK,42.58
Player 120,22.0,Real Madrid,76,78,CB,56.72
Player 121,27.52777777777778,Real Madrid,80,84,RW,75.37
Player 122,31.0,Juventus,73,76,CB,45.95
Player 123,20.0,Bayern Munich,68,72,CB,100.55
Player 124,18.0,Juventus,60,65,CB,37.506521739130434
Player 125,22.0,Bayern Munich,72,73,LW,35.99
Player 126,31.0,Juventus,63,68,CB,85.97
Player 127,27.52777777777778,Free Agent,60,63,CM,63.79
Player 128,26.0,Real Madrid,91,93,GK,64.6
Player 129,32.0,Man City,93,96,ST,85.3108695652174
Player 130,32.0,Bayern Munich,87,87,CB,60.14
Player 131,27.0,Bayern Munich,90,93,RW,92.08
Player 132,30.0,Man City,67,67,CB,13.25
Player 133,36.0,Juventus,85,88,RW,40.79
Player 134,24.0,Bayern Munich,93,93,CM,119.73
Player 135,34.0,PSG,62,63,RW,90.64
Player 136,37.0,Free Agent,71,76,ST,33.4
Player 137,21.0,Man City,60,65,GK,107.79
Player 138,22.0,Real Madrid,64,68,RW,43.8804347826087
Player 139,24.0,Bayern Munich,89,94,RW,96.29
Player 140,30.0,Bayern Munich,89,91,GK,117.49
Player 141,32.0,Man City,76,79,ST,100.93
Player 142,27.52777777777778,PSG,82,86,CB,104.17
Player 143,27.52777777777778,Free Agent,74,76,RW,49.55
Player 144,30.0,Man City,80,82,GK,66.65
Player 145,24.0,Barcelona,73,73,CM,31.21
Player 146,36.0,Free Agent,61,66,GK,24.34
Player 147,39.0,Barcelona,70,71,CM,61.16
Player 148,19.0,PSG,93,94,No,71.81
Player 149,27.0,Juventus,93,97,CB,41.37
Player 150,30.0,Barcelona,77,78,No,68.76
Player 151,38.0,Juventus,89,92,No,106.61
Player 152,23.0,Barcelona,74,75,RW,67.25
Player 153,29.0,PSG,86,90,ST,69.37608695652175
Player 154,29.0,Barcelona,93,94,No,96.83
Player 155,27.52777777777778,Barcelona,92,95,RW,118.66
Player 156,28.0,Free Agent,83,83,GK,72.78
Player 157,24.0,Man City,74,78,CM,97.02
Player 158,27.52777777777778,Man City,89,89,GK,115.56
Player 159,18.0,Man City,76,76,LW,113.38
Player 160,37.0,PSG,64,64,GK,17.79
Player 161,30.0,Juventus,88,90,GK,49.36
Player 162,26.0,Bayern Munich,63,68,LW,15.197826086956521
Player 163,20.0,Barcelona,69,71,ST,11.34
Player 164,24.0,Free Agent,76,81,GK,76.36
Player 165,23.0,PSG,69,69,LW,88.57
Player 166,25.0,Barcelona,76,80,RW,101.93
Player 167,26.0,Man City,79,84,CM,15.61
Player 168,22.0,Bayern Munich,83,86,CM,105.3
Player 169,18.0,Real Madrid,64,67,GK,77.51
Player 170,36.0,Barcelona,93,94,ST,84.77
Player 171,27.0,Man City,65,70,ST,109.36
Player 172,29.0,Real Madrid,61,65,RW,75.35
Player 173,27.52777777777778,Free Agent,72,74,GK,40.97
Player 174,39.0,Real Madrid,70,70,CM,99.19
Player 175,26.0,Man City,82,83,ST,44.2
Player 176,37.0,Juventus,75,78,GK,5.07
Player 177,34.0,Juventus,90,92,No,75.75
Player 178,34.0,Real Madrid,70,72,LW,12.01086956521739
Player 179,37.0,PSG,75,75,ST,93.09
Player 180,27.52777777777778,Real Madrid,67,72,CM,44.17
Player 181,24.0,Barcelona,63,66,No,103.47
Player 182,19.0,Barcelona,63,67,RW,27.12
Player 183,20.0,Free Agent,84,86,RW,116.97
Player 184,34.0,PSG,62,62,CM,93.79
Player 185,22.0,Man City,91,95,ST,14.59
Player 186,34.0,Barcelona,62,67,GK,68.33
Player 187,34.0,Juventus,86,89,ST,118.26
Player 188,34.0,Bayern Munich,88,93,CM,57.06
Player 189,19.0,Juventus,91,93,RW,22.67
Player 190,19.0,Barcelona,78,82,ST,58.69
Player 191,39.0,Free Agent,80,84,RW,61.98
Player 192,22.0,Juventus,64,68,GK,89.26
Player 193,18.0,Man City,77,79,RW,84.16
Player 194,18.0,Real Madrid,87,89,RW,48.9
Player 195,36.0,Barcelona,81,86,No,26.94
Player 196,19.0,Juventus,80,81,CB,96.46521739130435
Player 197,38.0,Juventus,65,70,LW,51.18
Player 198,29.0,PSG,60,63,CB,16.74
Player 199,23.0,Real Madrid,64,64,No,108.17
Player 200,21.0,Bayern Munich,71,75,CM,83.26
